
2024/10/31 (10:23:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (10:23:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (21:35:11) | ===> btop++ v.1.4.0
2024/11/19 (21:35:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (21:35:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (23:44:14) | ===> btop++ v.1.4.0
2024/11/19 (23:44:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (23:44:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (22:34:49) | ===> btop++ v.1.4.0
2024/11/27 (22:34:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/27 (22:34:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (23:00:18) | ===> btop++ v.1.4.0
2024/11/30 (23:00:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/30 (23:00:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (23:32:20) | ===> btop++ v.1.4.0
2024/11/30 (23:32:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/30 (23:32:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (09:44:53) | ===> btop++ v.1.4.0
2024/12/01 (09:44:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/01 (09:44:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (15:22:19) | ===> btop++ v.1.4.0
2024/12/03 (15:22:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/03 (15:22:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (15:46:18) | ===> btop++ v.1.4.0
2024/12/03 (15:46:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/03 (15:46:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (15:46:46) | ===> btop++ v.1.4.0
2024/12/03 (15:46:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/03 (15:46:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (15:51:47) | ===> btop++ v.1.4.0
2024/12/03 (15:51:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/03 (15:51:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (16:16:37) | ===> btop++ v.1.4.0
2024/12/03 (16:16:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/03 (16:16:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (16:16:43) | ===> btop++ v.1.4.0
2024/12/03 (16:16:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/03 (16:16:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (18:25:41) | ===> btop++ v.1.4.0
2024/12/03 (18:25:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/03 (18:25:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (00:03:13) | ===> btop++ v.1.4.0
2024/12/04 (00:03:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (00:03:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (00:04:20) | ===> btop++ v.1.4.0
2024/12/04 (00:04:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (00:04:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (07:52:11) | ===> btop++ v.1.4.0
2024/12/04 (07:52:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (07:52:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (07:54:58) | ===> btop++ v.1.4.0
2024/12/04 (07:54:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (07:54:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (07:57:22) | ===> btop++ v.1.4.0
2024/12/04 (07:57:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (07:57:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (12:15:25) | ===> btop++ v.1.4.0
2024/12/04 (12:15:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (12:15:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (14:01:24) | ===> btop++ v.1.4.0
2024/12/04 (14:01:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (14:01:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (15:53:56) | ===> btop++ v.1.4.0
2024/12/04 (15:53:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (15:53:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (12:48:02) | ===> btop++ v.1.4.0
2024/12/05 (12:48:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/05 (12:48:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (12:51:10) | ===> btop++ v.1.4.0
2024/12/05 (12:51:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/05 (12:51:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (00:11:03) | ===> btop++ v.1.4.0
2024/12/06 (00:11:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/06 (00:11:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (08:15:31) | ===> btop++ v.1.4.0
2024/12/06 (08:15:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/06 (08:15:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (15:00:16) | ===> btop++ v.1.4.0
2024/12/06 (15:00:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
